Mass Alpha
0.100000 2.852077
0.109699 2.851448
0.120338 2.850790
0.132009 2.850100
0.144812 2.849377
0.158857 2.848619
0.174263 2.847824
0.191164 2.846991
0.209705 2.846117
0.230043 2.845201
0.252354 2.844241
0.276829 2.843235
0.303677 2.842181
0.333129 2.841080
0.365438 2.839927
0.400881 2.838723
0.439760 2.837466
0.482411 2.836155
0.529198 2.834788
0.580523 2.833367
0.636825 2.831889
0.698588 2.830355
0.766341 2.828764
0.840665 2.827117
0.922198 2.825414
1.011638 2.823655
1.109752 2.821842
1.217383 2.819975
1.335452 2.818055
1.464971 2.816084
1.607053 2.814064
1.762914 2.811996
1.933892 2.809883
2.121452 2.807726
2.327202 2.805527
2.552908 2.803291
2.800504 2.801017
3.072113 2.798711
3.370064 2.796373
3.696913 2.794007
4.055461 2.791616
4.448783 2.789203
4.880252 2.786770
5.353567 2.784321
5.872787 2.781858
6.442364 2.779384
7.067181 2.776903
7.752597 2.774416
8.504489 2.771927
9.329304 2.769439
10.234114 2.766953
11.226678 2.764473
12.315506 2.762000
13.509935 2.759538
14.820207 2.757089
16.257557 2.754654
17.834309 2.752236
19.563983 2.749837
21.461412 2.747458
23.542864 2.745103
25.826188 2.742771
28.330961 2.740465
31.078662 2.738186
34.092851 2.735935
37.399373 2.733713
41.026581 2.731522
45.005577 2.729363
49.370479 2.727235
54.158714 2.725140
59.411340 2.723077
65.173396 2.721048
71.494290 2.719053
78.428221 2.717090
86.034644 2.715162
94.378783 2.713266
103.532184 2.711404
113.573336 2.709574
124.588336 2.707776
136.671636 2.706009
149.926843 2.704275
164.467618 2.702570
180.418641 2.700895
197.916687 2.699249
217.111795 2.697631
238.168555 2.696040
261.267523 2.694476
286.606762 2.692937
314.403547 2.691422
344.896226 2.689932
378.346262 2.688464
415.040476 2.687017
455.293507 2.685592
499.450512 2.684187
547.890118 2.682801
601.027678 2.681433
659.318827 2.680084
723.263390 2.678751
793.409667 2.677435
870.359136 2.676134
954.771611 2.674849
1047.370898 2.673579
1148.951000 2.672323
1260.382930 2.671081
1382.622174 2.669854
1516.716888 2.668640
1663.816886 2.667439
1825.183494 2.666251
2002.200372 2.665077
2196.385372 2.663915
2409.403560 2.662767
2643.081487 2.661630
2899.422854 2.660507
3180.625693 2.659395
3489.101213 2.658296
3827.494479 2.657210
4198.707084 2.656135
4605.922041 2.655072
5052.631065 2.654021
5542.664521 2.652982
6080.224262 2.651954
6669.919663 2.650938
7316.807143 2.649934
8026.433522 2.648941
8804.883582 2.647959
9658.832241 2.646989
10595.601793 2.646029
11623.224687 2.645081
12750.512407 2.644144
13987.131026 2.643218
15343.684089 2.642303
16831.803533 2.641398
18464.249429 2.640505
20255.019392 2.639622
22219.468609 2.638749
24374.441501 2.637888
26738.416158 2.637037
29331.662784 2.636197
32176.417503 2.635367
35297.073027 2.634548
38720.387818 2.633739
42475.715525 2.632941
46595.256687 2.632153
51114.334834 2.631376
56071.699382 2.630608
61509.857886 2.629852
67475.440531 2.629104
74019.599969 2.628369
81198.449932 2.627643
89073.546386 2.626927
97712.415353 2.626222
107189.131921 2.625527
117584.955405 2.624842
128989.026125 2.624168
141499.129743 2.623504
155222.535743 2.622850
170276.917223 2.622206
186791.359902 2.621572
204907.468982 2.620949
224780.583355 2.620336
246581.107582 2.619732
270495.973046 2.619139
296730.240819 2.618556
325508.859984 2.617983
357078.596490 2.617420
391710.149081 2.616866
429700.470432 2.616323
471375.313412 2.615789
517092.024290 2.615265
567242.606849 2.614750
622257.083673 2.614245
682607.183427 2.613748
748810.385759 2.613261
821434.358492 2.612783
901101.825167 2.612314
988495.904663 2.611854
1084365.968690 2.611402
1189534.067370 2.610959
1304901.978014 2.610523
1431458.937523 2.610096
1570290.124729 2.609677
1722585.965399 2.609265
1889652.339691 2.608860
2072921.779595 2.608463
2273965.752358 2.608072
2494508.135230 2.607688
2736439.997075 2.607311
3001835.813576 2.606940
3292971.255097 2.606575
3612342.699709 2.606215
3962688.638701 2.605861
4347013.158125 2.605512
4768611.697714 2.605169
5231099.308056 2.604829
5738441.648302 2.604494
6294988.990222 2.604164
6905513.520162 2.603837
7575250.258772 2.603515
8309941.949353 2.603196
9115888.299751 2.602880
10000000.000000 2.602568
