Mass AlphaFull
0.100000 2.854311
0.109699 2.853698
0.120338 2.853056
0.132009 2.852381
0.144812 2.851672
0.158857 2.850927
0.174263 2.850144
0.191164 2.849322
0.209705 2.848458
0.230043 2.847550
0.252354 2.846597
0.276829 2.845596
0.303677 2.844545
0.333129 2.843444
0.365438 2.842290
0.400881 2.841083
0.439760 2.839819
0.482411 2.838499
0.529198 2.837122
0.580523 2.835685
0.636825 2.834189
0.698588 2.832633
0.766341 2.831017
0.840665 2.829340
0.922198 2.827603
1.011638 2.825806
1.109752 2.823950
1.217383 2.822036
1.335452 2.820064
1.464971 2.818035
1.607053 2.815953
1.762914 2.813816
1.933892 2.811629
2.121452 2.809393
2.327202 2.807109
2.552908 2.804782
2.800504 2.802412
3.072113 2.800003
3.370064 2.797557
3.696913 2.795078
4.055461 2.792568
4.448783 2.790031
4.880252 2.787469
5.353567 2.784885
5.872787 2.782284
6.442364 2.779667
7.067181 2.777038
7.752597 2.774400
8.504489 2.771756
9.329304 2.769109
10.234114 2.766462
11.226678 2.763818
12.315506 2.761180
13.509935 2.758549
14.820207 2.755930
16.257557 2.753324
17.834309 2.750735
19.563983 2.748163
21.461412 2.745612
23.542864 2.743083
25.826188 2.740579
28.330961 2.738101
31.078662 2.735650
34.092851 2.733229
37.399373 2.730839
41.026581 2.728482
45.005577 2.726157
49.370479 2.723866
54.158714 2.721611
59.411340 2.719391
65.173396 2.717208
71.494290 2.715061
78.428221 2.712952
86.034644 2.710880
94.378783 2.708845
103.532184 2.706847
113.573336 2.704887
124.588336 2.702963
136.671636 2.701076
149.926843 2.699226
164.467618 2.697410
180.418641 2.695630
197.916687 2.693884
217.111795 2.692171
238.168555 2.690492
261.267523 2.688844
286.606762 2.687227
314.403547 2.685641
344.896226 2.684084
378.346262 2.682555
415.040476 2.681053
455.293507 2.679578
499.450512 2.678128
547.890118 2.676703
601.027678 2.675302
659.318827 2.673923
723.263390 2.672566
793.409667 2.671232
870.359136 2.669917
954.771611 2.668622
1047.370898 2.667347
1148.951000 2.666091
1260.382930 2.664854
1382.622174 2.663634
1516.716888 2.662432
1663.816886 2.661248
1825.183494 2.660081
2002.200372 2.658931
2196.385372 2.657798
2409.403560 2.656681
2643.081487 2.655581
2899.422854 2.654498
3180.625693 2.653431
3489.101213 2.652380
3827.494479 2.651346
4198.707084 2.650327
4605.922041 2.649325
5052.631065 2.648339
5542.664521 2.647369
6080.224262 2.646415
6669.919663 2.645477
7316.807143 2.644555
8026.433522 2.643648
8804.883582 2.642757
9658.832241 2.641882
10595.601793 2.641022
11623.224687 2.640178
12750.512407 2.639348
13987.131026 2.638535
15343.684089 2.637736
16831.803533 2.636952
18464.249429 2.636182
20255.019392 2.635427
22219.468609 2.634686
24374.441501 2.633959
26738.416158 2.633247
29331.662784 2.632547
32176.417503 2.631862
35297.073027 2.631189
38720.387818 2.630529
42475.715525 2.629882
46595.256687 2.629247
51114.334834 2.628623
56071.699382 2.628012
61509.857886 2.627411
67475.440531 2.626821
74019.599969 2.626243
81198.449932 2.625675
89073.546386 2.625116
97712.415353 2.624566
107189.131921 2.624026
117584.955405 2.623495
128989.026125 2.622971
141499.129743 2.622456
155222.535743 2.621949
170276.917223 2.621448
186791.359902 2.620955
204907.468982 2.620468
224780.583355 2.619988
246581.107582 2.619514
270495.973046 2.619045
296730.240819 2.618582
325508.859984 2.618124
357078.596490 2.617671
391710.149081 2.617222
429700.470432 2.616779
471375.313412 2.616339
517092.024290 2.615904
567242.606849 2.615474
622257.083673 2.615047
682607.183427 2.614624
748810.385759 2.614206
821434.358492 2.613791
901101.825167 2.613381
988495.904663 2.612974
1084365.968690 2.612572
1189534.067370 2.612173
1304901.978014 2.611779
1431458.937523 2.611390
1570290.124729 2.611004
1722585.965399 2.610623
1889652.339691 2.610247
2072921.779595 2.609875
2273965.752358 2.609508
2494508.135230 2.609146
2736439.997075 2.608789
3001835.813576 2.608437
3292971.255097 2.608090
3612342.699709 2.607748
3962688.638701 2.607412
4347013.158125 2.607080
4768611.697714 2.606754
5231099.308056 2.606432
5738441.648302 2.606116
6294988.990222 2.605805
6905513.520162 2.605500
7575250.258772 2.605199
8309941.949353 2.604903
9115888.299751 2.604613
10000000.000000 2.604327
