Mass Beta
0.100000 0.784246
0.109699 0.784204
0.120338 0.784160
0.132009 0.784114
0.144812 0.784066
0.158857 0.784015
0.174263 0.783961
0.191164 0.783906
0.209705 0.783847
0.230043 0.783786
0.252354 0.783721
0.276829 0.783654
0.303677 0.783583
0.333129 0.783509
0.365438 0.783431
0.400881 0.783350
0.439760 0.783265
0.482411 0.783177
0.529198 0.783085
0.580523 0.782988
0.636825 0.782889
0.698588 0.782785
0.766341 0.782677
0.840665 0.782565
0.922198 0.782450
1.011638 0.782330
1.109752 0.782207
1.217383 0.782079
1.335452 0.781948
1.464971 0.781814
1.607053 0.781676
1.762914 0.781534
1.933892 0.781389
2.121452 0.781241
2.327202 0.781090
2.552908 0.780936
2.800504 0.780779
3.072113 0.780620
3.370064 0.780459
3.696913 0.780295
4.055461 0.780129
4.448783 0.779961
4.880252 0.779792
5.353567 0.779622
5.872787 0.779450
6.442364 0.779277
7.067181 0.779103
7.752597 0.778929
8.504489 0.778754
9.329304 0.778579
10.234114 0.778404
11.226678 0.778229
12.315506 0.778055
13.509935 0.777881
14.820207 0.777707
16.257557 0.777534
17.834309 0.777362
19.563983 0.777192
21.461412 0.777022
23.542864 0.776854
25.826188 0.776687
28.330961 0.776522
31.078662 0.776358
34.092851 0.776197
37.399373 0.776037
41.026581 0.775879
45.005577 0.775723
49.370479 0.775570
54.158714 0.775418
59.411340 0.775269
65.173396 0.775122
71.494290 0.774977
78.428221 0.774834
86.034644 0.774694
94.378783 0.774555
103.532184 0.774420
113.573336 0.774286
124.588336 0.774154
136.671636 0.774025
149.926843 0.773898
164.467618 0.773773
180.418641 0.773650
197.916687 0.773529
217.111795 0.773409
238.168555 0.773292
261.267523 0.773177
286.606762 0.773063
314.403547 0.772951
344.896226 0.772841
378.346262 0.772732
415.040476 0.772625
455.293507 0.772519
499.450512 0.772415
547.890118 0.772312
601.027678 0.772210
659.318827 0.772109
723.263390 0.772010
793.409667 0.771912
870.359136 0.771815
954.771611 0.771719
1047.370898 0.771624
1148.951000 0.771530
1260.382930 0.771437
1382.622174 0.771345
1516.716888 0.771254
1663.816886 0.771163
1825.183494 0.771074
2002.200372 0.770986
2196.385372 0.770898
2409.403560 0.770812
2643.081487 0.770726
2899.422854 0.770641
3180.625693 0.770558
3489.101213 0.770475
3827.494479 0.770392
4198.707084 0.770311
4605.922041 0.770231
5052.631065 0.770151
5542.664521 0.770072
6080.224262 0.769994
6669.919663 0.769917
7316.807143 0.769841
8026.433522 0.769765
8804.883582 0.769691
9658.832241 0.769617
10595.601793 0.769544
11623.224687 0.769471
12750.512407 0.769400
13987.131026 0.769329
15343.684089 0.769259
16831.803533 0.769190
18464.249429 0.769122
20255.019392 0.769055
22219.468609 0.768988
24374.441501 0.768922
26738.416158 0.768857
29331.662784 0.768792
32176.417503 0.768729
35297.073027 0.768666
38720.387818 0.768604
42475.715525 0.768542
46595.256687 0.768482
51114.334834 0.768422
56071.699382 0.768363
61509.857886 0.768305
67475.440531 0.768247
74019.599969 0.768190
81198.449932 0.768134
89073.546386 0.768079
97712.415353 0.768025
107189.131921 0.767971
117584.955405 0.767918
128989.026125 0.767866
141499.129743 0.767815
155222.535743 0.767764
170276.917223 0.767714
186791.359902 0.767665
204907.468982 0.767617
224780.583355 0.767570
246581.107582 0.767523
270495.973046 0.767477
296730.240819 0.767432
325508.859984 0.767387
357078.596490 0.767343
391710.149081 0.767300
429700.470432 0.767258
471375.313412 0.767217
517092.024290 0.767176
567242.606849 0.767136
622257.083673 0.767097
682607.183427 0.767058
748810.385759 0.767020
821434.358492 0.766983
901101.825167 0.766946
988495.904663 0.766911
1084365.968690 0.766875
1189534.067370 0.766841
1304901.978014 0.766807
1431458.937523 0.766773
1570290.124729 0.766741
1722585.965399 0.766709
1889652.339691 0.766677
2072921.779595 0.766646
2273965.752358 0.766615
2494508.135230 0.766585
2736439.997075 0.766556
3001835.813576 0.766527
3292971.255097 0.766498
3612342.699709 0.766470
3962688.638701 0.766443
4347013.158125 0.766415
4768611.697714 0.766388
5231099.308056 0.766362
5738441.648302 0.766336
6294988.990222 0.766310
6905513.520162 0.766284
7575250.258772 0.766259
8309941.949353 0.766234
9115888.299751 0.766209
10000000.000000 0.766185
