Mass BetaFull
0.100000 0.779621
0.109699 0.779581
0.120338 0.779539
0.132009 0.779495
0.144812 0.779449
0.158857 0.779401
0.174263 0.779350
0.191164 0.779297
0.209705 0.779241
0.230043 0.779182
0.252354 0.779120
0.276829 0.779055
0.303677 0.778986
0.333129 0.778915
0.365438 0.778840
0.400881 0.778761
0.439760 0.778679
0.482411 0.778593
0.529198 0.778503
0.580523 0.778410
0.636825 0.778312
0.698588 0.778210
0.766341 0.778105
0.840665 0.777995
0.922198 0.777882
1.011638 0.777764
1.109752 0.777643
1.217383 0.777518
1.335452 0.777388
1.464971 0.777255
1.607053 0.777119
1.762914 0.776978
1.933892 0.776834
2.121452 0.776687
2.327202 0.776537
2.552908 0.776383
2.800504 0.776227
3.072113 0.776067
3.370064 0.775906
3.696913 0.775741
4.055461 0.775575
4.448783 0.775406
4.880252 0.775236
5.353567 0.775064
5.872787 0.774891
6.442364 0.774716
7.067181 0.774541
7.752597 0.774364
8.504489 0.774187
9.329304 0.774009
10.234114 0.773832
11.226678 0.773654
12.315506 0.773476
13.509935 0.773299
14.820207 0.773122
16.257557 0.772946
17.834309 0.772771
19.563983 0.772596
21.461412 0.772423
23.542864 0.772251
25.826188 0.772081
28.330961 0.771912
31.078662 0.771745
34.092851 0.771579
37.399373 0.771416
41.026581 0.771254
45.005577 0.771094
49.370479 0.770937
54.158714 0.770782
59.411340 0.770629
65.173396 0.770478
71.494290 0.770330
78.428221 0.770184
86.034644 0.770041
94.378783 0.769900
103.532184 0.769761
113.573336 0.769624
124.588336 0.769490
136.671636 0.769359
149.926843 0.769230
164.467618 0.769103
180.418641 0.768978
197.916687 0.768855
217.111795 0.768735
238.168555 0.768617
261.267523 0.768501
286.606762 0.768387
314.403547 0.768275
344.896226 0.768164
378.346262 0.768056
415.040476 0.767949
455.293507 0.767844
499.450512 0.767741
547.890118 0.767639
601.027678 0.767539
659.318827 0.767440
723.263390 0.767343
793.409667 0.767247
870.359136 0.767152
954.771611 0.767058
1047.370898 0.766966
1148.951000 0.766875
1260.382930 0.766785
1382.622174 0.766697
1516.716888 0.766609
1663.816886 0.766523
1825.183494 0.766437
2002.200372 0.766353
2196.385372 0.766270
2409.403560 0.766188
2643.081487 0.766107
2899.422854 0.766027
3180.625693 0.765948
3489.101213 0.765870
3827.494479 0.765793
4198.707084 0.765717
4605.922041 0.765643
5052.631065 0.765569
5542.664521 0.765496
6080.224262 0.765425
6669.919663 0.765354
7316.807143 0.765285
8026.433522 0.765217
8804.883582 0.765149
9658.832241 0.765083
10595.601793 0.765018
11623.224687 0.764953
12750.512407 0.764890
13987.131026 0.764828
15343.684089 0.764767
16831.803533 0.764707
18464.249429 0.764648
20255.019392 0.764590
22219.468609 0.764533
24374.441501 0.764477
26738.416158 0.764422
29331.662784 0.764368
32176.417503 0.764315
35297.073027 0.764263
38720.387818 0.764212
42475.715525 0.764162
46595.256687 0.764112
51114.334834 0.764064
56071.699382 0.764017
61509.857886 0.763970
67475.440531 0.763925
74019.599969 0.763880
81198.449932 0.763836
89073.546386 0.763793
97712.415353 0.763750
107189.131921 0.763709
117584.955405 0.763668
128989.026125 0.763627
141499.129743 0.763588
155222.535743 0.763549
170276.917223 0.763511
186791.359902 0.763473
204907.468982 0.763436
224780.583355 0.763400
246581.107582 0.763364
270495.973046 0.763328
296730.240819 0.763293
325508.859984 0.763259
357078.596490 0.763225
391710.149081 0.763191
429700.470432 0.763158
471375.313412 0.763125
517092.024290 0.763093
567242.606849 0.763061
622257.083673 0.763029
682607.183427 0.762997
748810.385759 0.762966
821434.358492 0.762935
901101.825167 0.762905
988495.904663 0.762874
1084365.968690 0.762844
1189534.067370 0.762814
1304901.978014 0.762785
1431458.937523 0.762756
1570290.124729 0.762727
1722585.965399 0.762698
1889652.339691 0.762669
2072921.779595 0.762641
2273965.752358 0.762613
2494508.135230 0.762586
2736439.997075 0.762558
3001835.813576 0.762531
3292971.255097 0.762505
3612342.699709 0.762478
3962688.638701 0.762452
4347013.158125 0.762427
4768611.697714 0.762401
5231099.308056 0.762376
5738441.648302 0.762352
6294988.990222 0.762327
6905513.520162 0.762303
7575250.258772 0.762280
8309941.949353 0.762257
9115888.299751 0.762234
10000000.000000 0.762212
